"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit
1,CA-2016-152156,"2016-08-11 00:00:00","2016-11-11 00:00:00","Second Class",CG-12520,"Claire Gute",Consumer,"United States",Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,"Bush Somerset Collection Bookcase",261.96,2,0,41.9136
2,CA-2016-152156,"2016-08-11 00:00:00","2016-11-11 00:00:00","Second Class",CG-12520,"Claire Gute",Consumer,"United States",Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
4,US-2015-108966,"2015-11-10 00:00:00",10/18/2015,"Standard Class",SO-20335,"Sean O'Donnell",Consumer,"United States","Fort Lauderdale",Florida,33311,South,FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",957.5775,5,0.45,-383.031
6,CA-2014-115812,"2014-09-06 00:00:00",6/14/2014,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
11,CA-2014-115812,"2014-09-06 00:00:00",6/14/2014,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,FUR-TA-10001539,Furniture,Tables,"Chromcraft Rectangular Conference Tables",1706.184,9,0.2,85.3092
24,US-2017-156909,7/16/2017,7/18/2017,"Second Class",SF-20065,"Sandra Flanagan",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25,CA-2015-106320,9/25/2015,9/30/2015,"Standard Class",EB-13870,"Emily Burns",Consumer,"United States",Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",1044.63,3,0,240.2649
28,US-2015-150630,9/17/2015,9/21/2015,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
30,US-2015-150630,9/17/2015,9/21/2015,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock"",124.2,3,0.2,15.525
37,CA-2016-117590,"2016-08-12 00:00:00","2016-10-12 00:00:00","First Class",GH-14485,"Gene Hale",Corporate,"United States",Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
